State,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
AK,2320,1949,1949,1907,2016,1845,1940,1956,1784,1946,1913
AL,3752,2556,3351,3261,3434,3793,4111,3970,4561,4689,5209
AR,2459,2139,2366,2717,2712,2467,2463,2560,2936,3812,4214
AZ,13553,5460,10979,10007,9865,8947,9707,9896,10495,10562,11302
CA,171521,57468,161548,151278,129972,131532,118142,115738,113952,118552,120098
CO,10397,8544,9846,9619,10857,10940,10550,9953,10028,9754,16768
CT,2930,2593,2905,3033,3976,3388,3902,4047,4450,4448,4209
DC,4410,5111,6380,6521,6904,7473,8350,7298,7748,6865,6954
DE,2369,1579,1165,921,1082,994,1070,953,901,946,1008
FL,25959,21121,27487,28328,31030,32190,33559,35900,41542,47862,55170
GA,10689,5486,10234,10443,9499,10174,12909,13790,16521,16971,20516
GU,1087,199,790,875,854,852,1085,1280,1356,1271,1301
HI,5967,2490,6458,6412,6530,7220,7921,7620,6918,6335,6246
IA,2419,2534,2647,2315,2749,2756,3064,3081,3122,3084,2928
ID,1998,1889,2315,2315,2012,2037,2247,1966,2104,1781,1968
IL,9212,7958,10431,10199,10643,10798,11590,13177,13107,13425,14144
IN,5449,4975,5625,5471,5258,5438,5798,5863,5971,6096,6259
KS,2397,1803,2449,2381,2216,2287,2255,2588,2783,2693,2684
KY,3984,2544,4011,4079,3688,4025,4237,4538,5089,5245,5230
LA,7373,2131,3173,2941,3059,3305,3994,4081,4606,5226,7772
MA,15507,15079,17975,18471,20068,17565,19608,21135,21237,19029,17501
MD,5349,4550,6360,6561,7144,7247,7689,8390,7856,8205,9454
ME,4411,2063,2097,2106,2516,2280,2241,2372,2726,3016,2393
MI,8206,6757,8638,8575,8351,9051,9316,10516,12227,11527,12592
MN,7917,6775,7940,7977,7243,7668,7341,7546,8377,8214,7744
MO,5992,4926,6527,6179,5883,6037,6194,6482,7282,8581,10237
MP,1207,2,1207,1807,1044,672,0,0,0,0,0
MS,1196,626,1107,1184,1352,1472,1738,1983,2226,2403,2413
MT,1585,1801,1545,1357,1405,1529,1418,1709,1745,1878,1833
NC,9382,7249,9280,9314,9268,8962,9559,10685,11491,12168,13524
ND,610,548,541,557,542,1089,923,1305,1258,2069,688
NE,2246,1935,2404,2365,2421,2501,2754,2744,3026,3145,3789
NH,1605,1491,1675,1396,1450,1456,1366,1445,1376,1447,1496
NJ,8752,8262,9662,8862,9398,8536,8895,10098,11671,12002,13025
NM,2560,2747,3333,3241,2551,2482,2263,2629,2746,2819,3245
NV,7618,7090,6900,7169,7544,7833,7398,8743,8582,7039,8497
NY,74178,78920,91271,92091,91897,89503,86352,88250,80590,77430,69566
OH,10654,7915,10655,10345,10249,10095,10404,11182,11823,12325,13977
OK,3754,2694,3932,3944,3871,4199,4107,3777,4191,4408,5032
OR,17959,9048,14655,15876,14476,13953,13238,13226,12164,13822,15828
PA,12691,10339,13375,13199,13512,14138,15339,15421,15333,15086,14736
PR,2215,439,2451,2535,3182,3525,4418,4518,4132,4128,3212
RI,1577,1267,1104,1055,1101,1180,1160,1111,1190,1384,1277
SC,3608,3207,4287,4172,3933,3916,5051,5354,5057,6544,4915
SD,1389,817,1058,995,1159,943,1072,1036,885,1094,859
TN,10567,6823,7256,7467,7883,8309,8779,9123,9415,9528,9426
TX,24432,17295,27229,25848,25310,23548,23122,23678,28495,29615,34052
UT,3557,3565,3131,2798,2876,2852,2807,3025,3081,3277,3527
VA,6529,5812,5957,5783,5975,6067,6268,7001,7020,7625,8424
VI,175,177,304,314,486,381,341,337,448,482,484
VT,2780,2591,1110,1089,1291,1225,1117,1523,1559,1454,1160
WA,25211,11511,22923,21577,22304,21112,20827,19419,18442,17760,20504
WI,4775,4237,4515,4538,4907,5027,5685,6057,6055,6104,6027
WV,1375,1138,1341,1397,1243,1309,1387,1835,2013,2240,2410
WY,648,405,612,548,639,873,857,798,757,953,1813
